country_code,country_name,weighted_exposure,total_employment_k,wb_country_code,wb_name,region,income_group,population_2024
MEX,Mexico,0.2638,58954.0,MEX,Mexico,Latin America & Caribbean,Upper middle income,130861007.0
MNG,Mongolia,0.263,1363.8,MNG,Mongolia,East Asia & Pacific,Upper middle income,3524788.0
BIH,Bosnia and Herzegovina,0.2628,1345.8,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,3164253.0
COL,Colombia,0.2628,23807.4,COL,Colombia,Latin America & Caribbean,Upper middle income,52886363.0
TON,Tonga,0.259,32.8,TON,Tonga,East Asia & Pacific,Upper middle income,104175.0
SOM,Somalia,0.2586,1010.5,SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,Low income,19009151.0
FJI,Fiji,0.2585,319.0,FJI,Fiji,East Asia & Pacific,Upper middle income,928784.0
JOR,Jordan,0.2547,2753.7,JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,11552876.0
EGY,Egypt,0.2543,29927.6,EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,116538258.0
IRN,Iran (Islamic Republic of),0.2538,24075.6,IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,91567738.0
PSE,Palestine (State of),0.2534,686.7,PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5289152.0
PHL,Philippines,0.2523,46846.2,PHL,Philippines,East Asia & Pacific,Lower middle income,115843670.0
SLV,El Salvador,0.2511,2874.5,SLV,El Salvador,Latin America & Caribbean,Upper middle income,6338193.0
THA,Thailand,0.25,39677.8,THA,Thailand,East Asia & Pacific,Upper middle income,71668011.0
GUY,Guyana,0.247,238.6,GUY,Guyana,Latin America & Caribbean,High income,831087.0
SWZ,Eswatini,0.2438,216.9,SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,1242822.0
PER,Peru,0.2432,17717.4,PER,Peru,Latin America & Caribbean,Upper middle income,34217848.0
IRQ,Iraq,0.2428,8019.5,IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,46042015.0
BLZ,Belize,0.2425,143.3,BLZ,Belize,Latin America & Caribbean,Upper middle income,417072.0
BTN,Bhutan,0.2422,365.2,BTN,Bhutan,South Asia,Lower middle income,791524.0
IDN,Indonesia,0.2419,138702.5,IDN,Indonesia,East Asia & Pacific,Upper middle income,283487931.0
BOL,Bolivia (Plurinational State of),0.2413,6816.8,BOL,Bolivia,Latin America & Caribbean,Lower middle income,12413315.0
NER,Niger,0.2412,2078.9,NER,Niger,Sub-Saharan Africa,Low income,27032412.0
